bench,alloc_type,total,bit_pos,p_one,entropy
blender,64bits,3357625,57,0.6498953873645806,0.9341614486311014
blender,64bits,3357625,58,0.9153854286884331,0.41823377563535413
blender,64bits,3357625,59,0.9142402740032016,0.42215567814892296
blender,64bits,3357625,60,0.9301842820446,0.36523556984774264
blender,64bits,3357625,61,0.933471426975913,0.35283334229130603
blender,64bits,3357625,62,0.007885633446260377,0.0664250227440256
blender,64bits,3357625,63,0.0008017571944454785,0.009401936848587316
bwaves,32bits,12226,0,0.10600359888761655,0.4877426543780259
bwaves,32bits,12226,1,0.08588254539505971,0.42257486955992857
bwaves,32bits,12226,2,0.06019957467691804,0.32823664715846634
bwaves,32bits,12226,3,0.06216260428594798,0.33597049468159595
bwaves,32bits,12226,4,0.0924259774251595,0.44451599120091834
bwaves,32bits,12226,5,0.09487976443644691,0.4525514306094707
bwaves,32bits,12226,6,0.07524946834614755,0.38521509342483534
bwaves,32bits,12226,7,0.06625224930476034,0.3517795061791576
bwaves,32bits,12226,8,0.057418616064125634,0.3171113941600572
bwaves,32bits,12226,9,0.04384099460166858,0.2596339787733774
bwaves,32bits,12226,10,0.05725503026337314,0.3164506369240523
bwaves,32bits,12226,11,0.03157205954523147,0.20221540722872494
